Field1_links,Field2,Field3,Field4,Field5
https://www.imdb.com/title/tt7978230/?ref_=sr_t_104,Bir Zamanlar Çukurova,141,141,
https://www.imdb.com/title/tt14533598/?ref_=sr_t_105,Rumi,11,,
https://www.imdb.com/title/tt4312318/?ref_=sr_t_106,Seref Meselesi,26,26,
https://www.imdb.com/title/tt11232670/?ref_=sr_t_107,Alef,16,16,
https://www.imdb.com/title/tt14107656/?ref_=sr_t_108,Aktris,8,8,
https://www.imdb.com/title/tt11450050/?ref_=sr_t_109,Saygi,17,17,
https://www.imdb.com/title/tt9471962/?ref_=sr_t_110,Halka,19,19,
https://www.imdb.com/title/tt29291631/?ref_=sr_t_111,Bir Derdim Var,6,,
https://www.imdb.com/title/tt14814006/?ref_=sr_t_112,Ask Mantik Intikam,50,50,
https://www.imdb.com/title/tt27843403/?ref_=sr_t_113,Tozkoparan Iskender Gölge,11,,
https://www.imdb.com/title/tt14404174/?ref_=sr_t_114,Kalp Yarasi,32,32,
https://www.imdb.com/title/tt1018501/?ref_=sr_t_115,Kurtlar Vadisi: Pusu,300,300,
https://www.imdb.com/title/tt23396714/?ref_=sr_t_116,Sarmasik Zamani,16,,
https://www.imdb.com/title/tt28380138/?ref_=sr_t_117,Kirli Sepeti,13,,
https://www.imdb.com/title/tt21268616/?ref_=sr_t_118,Ates Kuslari,37,37,
https://www.imdb.com/title/tt12453442/?ref_=sr_t_119,Bay Yanlis,43,43,
https://www.imdb.com/title/tt4901120/?ref_=sr_t_120,Tatli Küçük Yalancilar,13,,
https://www.imdb.com/title/tt7146600/?ref_=sr_t_121,Börü,6,6,
https://www.imdb.com/title/tt11256614/?ref_=sr_t_122,Sefirin Kizi,52,52,
https://www.imdb.com/title/tt11100380/?ref_=sr_t_123,Dogdugun Ev Kaderindir,43,43,
https://www.imdb.com/title/tt15561916/?ref_=sr_t_124,Kaçis,11,11,
https://www.imdb.com/title/tt22869606/?ref_=sr_t_125,Dilek Tasi,16,16,
https://www.imdb.com/title/tt5224200/?ref_=sr_t_126,Kirgin Çiçekler,113,113,
https://www.imdb.com/title/tt1784141/?ref_=sr_t_127,Öyle Bir Geçer Zaman ki,120,120,
https://www.imdb.com/title/tt10723804/?ref_=sr_t_128,Mucize Doktor,64,64,
https://www.imdb.com/title/tt20248498/?ref_=sr_t_129,Ben Bu Cihana Sigmazam,51,51,
https://www.imdb.com/title/tt11138216/?ref_=sr_t_130,Babil,20,20,
https://www.imdb.com/title/tt19394272/?ref_=sr_t_131,Senden Daha Güzel,14,14,
https://www.imdb.com/title/tt6942048/?ref_=sr_t_132,Söz,84,84,
https://www.imdb.com/title/tt20603316/?ref_=sr_t_133,Var Bunlar,26,,
https://www.imdb.com/title/tt2050064/?ref_=sr_t_134,Kuzey Güney,80,80,
https://www.imdb.com/title/tt9083954/?ref_=sr_t_135,Muhtesem Ikili,12,,
https://www.imdb.com/title/tt3142876/?ref_=sr_t_136,Çalikusu,30,30,
https://www.imdb.com/title/tt2735484/?ref_=sr_t_137,Karagül,125,,
https://www.imdb.com/title/tt4075038/?ref_=sr_t_138,Paramparça,98,98,
https://www.imdb.com/title/tt22693974/?ref_=sr_t_139,Esaret,214,,
https://www.imdb.com/title/tt2716158/?ref_=sr_t_140,Merhamet,44,44,
https://www.imdb.com/title/tt28334660/?ref_=sr_t_141,Ruhun Duymaz,9,9,
https://www.imdb.com/title/tt12844722/?ref_=sr_t_142,Menajerimi Ara,45,45,
https://www.imdb.com/title/tt4912412/?ref_=sr_t_143,Günesin Kizlari,39,39,
