,Unnamed: 0,Name,Years,Age,Duration,Rating,VoteCount,Summary,Review_Count,Seasons,Star1,Star2,Star3,EpisodeCount,baslangic,isFinal,Sınıf,EpsPerSeason,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Game-Show,History,Music,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,others,HasLove,HasFamily,HasIstanbul,Basrol_Class1,Basrol_Class2,Basrol_Class3,Basrol_Class4
29,30,Leyla ile Mecnun,2011–2023,7.0,80.0,9.1,96000.0,"It is an unique and heartwarming show follows the extraordinary journey of a couple named Leyla and Mecnun. With Ali Atay portraying Mecnun and Ezgi Asaroglu as Leyla, the series has garnered a massive fan base and critical acclaim.",22.5,4.5,Elçin Sangu,Baris Arduç,Salih Bademci,69.0,2011,1,4,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,31,Erkenci Kus,2018–2019,7.0,120.0,7.4,10000.0,"Famous photographer Can Divit returns to Istanbul to save his family's advertising agency from ruin. The only person he trusts there is Sanem, a young aspiring writer. She is not convinced in his honesty, but soon falls for his charm.",22.5,2.0,Erdal Besikçioglu,Inanç Konukçu,Ege Aydan,101.0,2018,1,2,45.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
31,32,Eskiya Dünyaya Hükümdar Olmaz,2015–2021,7.0,83.0,6.8,2800.0,The series tells the life of Hizir Cakirbeyli. It has entered the realm of the mafia at a young age.,4.0,4.5,Ilker Kaleli,Öykü Karayel,Demircan Kacel,2.0,2015,1,4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,33,Kulüp,2021–2023,7.0,55.0,7.8,11000.0,"In cosmopolitan 1950s Istanbul, a mother with a troubled past works at a nightclub to reconnect with and help the rebellious daughter she couldn't raise.",22.5,2.0,Ali Atay,Serkan Keskin,Osman Sonant,101.0,2021,1,2,45.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
33,34,Kara Para Ask,2014–2015,7.0,90.0,7.6,7600.0,"Omar is a police officer. After the death of his fiancé he suffers great pain. Sibel, Omar's fiancée's body was found on the top of a cliff, in a car next to a fairly old, rich business man. After the shock of her sudden death and the accusations of his love cheating on him, Omar realizes that there is more behind her suspicious murder.",22.5,2.0,Demet Özdemir,Can Yaman,Öznur Serçeler,51.0,2014,1,2,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
34,35,Sandik Kokusu,2023– ,7.0,83.0,5.5,81000.0,"It is a hopeful story of a family starting over in Adana and extending to Istanbul, with an impressive atmosphere.",4.0,2.0,Oktay Kaynarca,Yunus Emre Yildirimer,Ozan Akbaba,101.0,2023,0,2,45.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
35,36,Muhtesem Yüzyil: Kösem,2015–2017,7.0,83.0,6.6,3900.0,"Anastasia a young Greek woman in Ahmed I's harem takes on the name 'Kosem' (leader, pioneer). In a world of men, she rules of the Ottoman Empire through her sons and grandson.",20.0,2.0,Zeynep Gunay Tan,,,20.0,2015,1,2,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,37,Sahmaran,2023– ,7.0,60.0,5.2,6700.0,"When Sahsu goes to Adana for a lecture, it's the perfect chance to face her estranged grandfather. But soon, she finds herself in the midst of a legend.",22.5,3.0,Tuba Büyüküstün,Engin Akyürek,Burak Tamdogan,54.0,2023,0,3,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
37,38,Kudüs Fatihi Selahaddin Eyyubi,2023– ,7.0,83.0,5.2,513749.99999999977,"The life of Muslim ruler Saladin and he conquered Jerusalem. Furthermore, it focuses on his battles against the Crusaders and his goal to unite the Muslim territories of Syria, northern Mesopotamia, Palestine and Egypt under his rule.",16.0,2.0,Özge Özpirinçci,Demet Akbag,Necip Memili,2.0,2023,0,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,39,Günesi Beklerken,2013–2014,7.0,83.0,6.9,4700.0,"Looking for a better life, Demet tries to convince her only daughter Zeynep to leave their home village. They move into Demet's old friend's house Jale, and Zeynep is able to enroll at the same private college as where Jale works as the principal.",8.0,2.0,Hakan Sahin,Sener Savas,Nurgül Yesilçay,60.0,2013,1,2,30.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,40,Muhtesem Yüzyil,2011–2014,7.0,90.0,6.9,19000.0,"From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigeth"".",22.5,4.0,Serenay Sarikaya,Burak Deniz,Mustafa Ugurlu,10.0,2011,1,3,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
