Field1_links,Dogum_Tarihi,Yas,Kariyer,Proje_Sayısı,Name
https://www.beyazperde.com/sanatcilar/sanatci-790990/,"
27 Ekim 1985
","
Yaş 
38
",7,13,Burak Sevinç
https://www.beyazperde.com/sanatcilar/sanatci-504630/,"
27 Mayıs 1980
","
Yaş 
43
",13,29,Necip Memili
https://www.beyazperde.com/sanatcilar/sanatci-974714/,,,,,Aleyna Al
https://www.beyazperde.com/sanatcilar/sanatci-518692/,,,44,63,İhsan Yüce
https://www.beyazperde.com/sanatcilar/sanatci-948915/,,,,,Sezer Arıçay
https://www.beyazperde.com/sanatcilar/sanatci-439991/,"
22 Ocak 1982
","
Yaş 
41
",25,21,Sedef Avcı
https://www.beyazperde.com/sanatcilar/sanatci-463486/,"
8 Ekim 1963
","
Yaş 
60
",18,21,Şerif Erol
https://www.beyazperde.com/sanatcilar/sanatci-745402/,,,,,Buse Varol
https://www.beyazperde.com/sanatcilar/sanatci-189020/,"
26 Mart 1976
","
Yaş 
47
",25,33,Nurgül Yeşilçay
https://www.beyazperde.com/sanatcilar/sanatci-190548/,"
1956
","
Yaş 
67
",29,24,Osman Sınav
https://www.beyazperde.com/sanatcilar/sanatci-515336/,,,12,11,Deniz Baysal
https://www.beyazperde.com/sanatcilar/sanatci-431587/,,,20,17,Hamdi Alkan
https://www.beyazperde.com/sanatcilar/sanatci-213639/,,"
Doğum tarihi 


23 Aralık 1959


(Denizli, Türkiye)
",37,25,Demet Akbağ
https://www.beyazperde.com/sanatcilar/sanatci-873159/,,,5,10,Deniz Işın
https://www.beyazperde.com/sanatcilar/sanatci-22939/,,,40,34,Nur Sürer
https://www.beyazperde.com/sanatcilar/sanatci-594852/,"
5 Kasım 1987
","
Yaş 
36
",11,13,Çağlar Ertuğrul
https://www.beyazperde.com/sanatcilar/sanatci-519698/,,,53,20,Arif Erkin Güzelbeyoğlu
https://www.beyazperde.com/sanatcilar/sanatci-204102/,,,21,40,Fırat Tanış
https://www.beyazperde.com/sanatcilar/sanatci-890754/,"
9 Kasım 1993
","
Yaş 
30
",6,4,Hivda Zizan Alp
https://www.beyazperde.com/sanatcilar/sanatci-507532/,,,,,Zerrin Egeliler
https://www.beyazperde.com/sanatcilar/sanatci-517540/,,,13,14,İbrahim Çelikkol
https://www.beyazperde.com/sanatcilar/sanatci-517611/,,,,,Sema Ergenekon
https://www.beyazperde.com/sanatcilar/sanatci-958965/,"
1 Ocak 1999
","
Yaş 
24
",17,9,Ramiz Mullamusa
https://www.beyazperde.com/sanatcilar/sanatci-515197/,"
17 Ağustos 1989
","
Yaş 
34
",13,15,Farah Zeynep Abdullah
https://www.beyazperde.com/sanatcilar/sanatci-510636/,"
22 Şubat 1964
","
Yaş 
59
",23,18,Mesut Akusta
https://www.beyazperde.com/sanatcilar/sanatci-181549/,"
5 Ocak 1970
","
Yaş 
53
",17,27,Erdal Beşikçioğlu
https://www.beyazperde.com/sanatcilar/sanatci-670396/,,,9,8,Barış Arduç
https://www.beyazperde.com/sanatcilar/sanatci-623913/,,,7,6,Aksel Bonfil
https://www.beyazperde.com/sanatcilar/sanatci-790278/,"
1 Ocak 1982
","
Yaş 
41
",7,16,Toygan Avanoğlu
https://www.beyazperde.com/sanatcilar/sanatci-533835/,"
6 Kasım 1984
","
Yaş 
39
",15,25,Funda Eryiğit
https://www.beyazperde.com/sanatcilar/sanatci-798993/,"
1 Nisan 1996
","
Yaş 
27
",6,6,Buçe Buse Kahraman
https://www.beyazperde.com/sanatcilar/sanatci-832214/,,,,,Bülent Keser
https://www.beyazperde.com/sanatcilar/sanatci-516045/,"
2 Eylül 1986
","
Yaş 
37
",14,14,Gonca Vuslateri
https://www.beyazperde.com/sanatcilar/sanatci-539906/,"
7 Aralık 1985
","
Yaş 
38
",15,17,Şebnem Hassanisoughi
